title,href,date,city,theatre,price,type,subclass,status,min_price,max_price
新型关系20颜怡颜悦脱口秀专场南昌站,https://detail.damai.cn/item.htm?id=930492984855,2025.07.12 周六 19:45,南昌,江西艺术中心大剧院,150-480,曲苑杂坛,其他,售票中,150.0,480.0
成都爆款喜剧2025年开年巨制沉浸式互动话剧钞级骗局凶手谋杀步步紧逼,https://detail.damai.cn/item.htm?id=936533936692,2025.06.12-06.30,成都,如时潮娃剧场B厅,168-988,话剧歌剧,话剧,售票中,168.0,988.0
原创音乐剧长安十二时辰,https://detail.damai.cn/item.htm?id=923428236989,2025.07.11-07.12,合肥,合肥大剧院歌剧厅,100-880,话剧歌剧,音乐剧,售票中,100.0,880.0
老舍经典作品茶馆上海站,https://detail.damai.cn/item.htm?id=914851475729,2025.07.26-07.27,上海,美琪大戏院,180-1200,话剧歌剧,话剧,售票中,180.0,1200.0
维也纳皇家交响乐团2026新年音乐会上海站,https://detail.damai.cn/item.htm?id=923670633359,2025.12.24 周三 19:30,上海,东方艺术中心-音乐厅,180-1280,音乐会,其他,售票中,180.0,1280.0
余华原著孟京辉导演古典爱情,https://detail.damai.cn/item.htm?id=927831772402,2025.08.29-08.30,广州,广东省友谊剧院,100-480,话剧歌剧,话剧,售票中,100.0,480.0
成都爱乐合唱团花样年华经典国语电影专场音乐会,https://detail.damai.cn/item.htm?id=923720212171,2025.08.21 周四 19:30,上海,东方艺术中心-音乐厅,90-2244,音乐会,其他,售票中,90.0,2244.0
新型关系20颜怡颜悦脱口秀专场,https://detail.damai.cn/item.htm?id=926812254593,2025.07.05 周六 19:30,佛山,佛山大剧院-大剧场,150-480,曲苑杂坛,其他,售票中,150.0,480.0
海宇山风和月刘兆宇阿YueYue2025巡演南京站,https://detail.damai.cn/item.htm?id=924088322435,2025.07.05 周六 19:30,南京,南京八度空间,128-288,演唱会,livehouse,售票中,128.0,288.0
鄱湖之声文旅共生中国鄱阳湖都昌音乐嘉年华,https://detail.damai.cn/item.htm?id=917492554048,2025.06.21 周六 19:30,九江,都昌县第一中学,180-1280,演唱会,其他,售票中,180.0,1280.0
乌兰图雅花开四季演唱会,https://detail.damai.cn/item.htm?id=920575225567,2025.08.15 周五 20:00,南宁,广西文化艺术中心(保利)大剧院,180-980,音乐会,其他,售票中,180.0,980.0
三展通票X美术馆2025夏季抽象主题双展2025抖音青年艺术家年度展,https://detail.damai.cn/item.htm?id=928564261778,2025.05.25-10.12,北京,X美术馆,10-80,展览休闲,展会,售票中,10.0,80.0
黄礼格2025安全地带巡演珠海站,https://detail.damai.cn/item.htm?id=927922192975,2025.07.27 周日 19:30,珠海,MAO Livehouse珠海,148-388,演唱会,livehouse,售票中,148.0,388.0
贵阳舞剧杜甫,https://detail.damai.cn/item.htm?id=926893594829,2025.07.06 周日 19:30,贵阳,贵州省国际会议中心,80-680,话剧歌剧,音乐剧,售票中,80.0,680.0
MISTER轻狂岁月音乐会珠海站,https://detail.damai.cn/item.htm?id=925736785658,2025.06.14 周六 20:00,珠海,MAO Livehouse珠海,380-530,演唱会,livehouse,售票中,380.0,530.0
倒带2004青春园游演唱会一键回到华语乐坛黄金年代南昌站,https://detail.damai.cn/item.htm?id=923386404562,2025.07.26 周六 20:00,南昌,瓦肆 VAS NANCHANG,98-380,演唱会,其他,售票中,98.0,380.0
话剧庆余年,https://detail.damai.cn/item.htm?id=915116756526,2025.06.13-07.27,上海,星空间72号·神庙剧场,180-480,话剧歌剧,话剧,售票中,180.0,480.0
7月5日深圳乐呵兄弟领衔葫芦相声社专场演出深圳站,https://detail.damai.cn/item.htm?id=930648609874,2025.07.05 周六 19:30,深圳,深圳蛇口风华大剧院,100-380,曲苑杂坛,其他,售票中,100.0,380.0
环境式悬疑互动戏剧请柬,https://detail.damai.cn/item.htm?id=930608764145,2025.06.14-06.29,重庆,谜盒剧场,78-138,话剧歌剧,话剧,售票中,78.0,138.0
青年舞蹈戏剧节喜剧蒋公的面子,https://detail.damai.cn/item.htm?id=926516983437,2025.07.19 周六 19:30,金华,义乌文化广场剧院,80-380,话剧歌剧,话剧,售票中,80.0,380.0
FAMILY洋湖自然亲子音乐节,https://detail.damai.cn/item.htm?id=918068704512,2025.10.25-10.26,长沙,洋湖国家湿地公园,199-399,演唱会,音乐节,售票中,199.0,399.0
2025胡海泉流浪者食堂演唱会无锡站,https://detail.damai.cn/item.htm?id=909282240626,2025.06.14 周六 19:30,无锡,无锡大剧院歌剧厅,180-980,演唱会,其他,售票中,180.0,980.0
西班牙弗拉明戈经典舞剧歌剧魅影郑州站,https://detail.damai.cn/item.htm?id=929498210602,2025.08.27 周三 19:30,郑州,河南省人民会堂,60-880,话剧歌剧,音乐剧,售票中,60.0,880.0
西班牙格拉纳达舞团弗拉明戈经典舞剧歌剧魅影,https://detail.damai.cn/item.htm?id=934015699217,2025.08.05 周二 19:30,宁波,宁波大剧院大剧场,80-880,话剧歌剧,音乐剧,售票中,80.0,880.0
国家大剧院与北京舞蹈学院联合出品原创舞蹈诗剧杨家岭的春天,https://detail.damai.cn/item.htm?id=933555195291,2025.07.25-07.26,北京,(通州区)北京艺术中心-戏剧场-国家大剧院分址,60-380,话剧歌剧,音乐剧,售票中,60.0,380.0
罗密欧与朱丽叶在鸡毛之地阿那亚戏剧节特邀剧目,https://detail.damai.cn/item.htm?id=912749394521,2025.06.19-06.21,秦皇岛,艺术中心圆形剧场,280,话剧歌剧,话剧,售票中,280.0,280.0
计划神曲启示录泽野弘之ACG二次元演唱会深圳龙岗站,https://detail.damai.cn/item.htm?id=921911915189,2025.06.14 周六,深圳,万象影城布吉IMAX店(华润万象汇深圳布吉店),78-178,演唱会,其他,售票中,78.0,178.0
开心麻花志怪喜剧作妖记,https://detail.damai.cn/item.htm?id=934148171817,2025.07.04-07.05,苏州,开心麻花运河剧场,80-580,话剧歌剧,话剧,售票中,80.0,580.0
舞剧永不消逝的电波,https://detail.damai.cn/item.htm?id=924688297189,2025.09.05-09.07,南通,南通大剧院-歌剧厅,80-880,话剧歌剧,音乐剧,售票中,80.0,880.0
四海福临2025德云社张九南高九成相声专场西安站,https://detail.damai.cn/item.htm?id=921978199518,2025.07.12 周六 19:30,西安,西安索菲特人民大厦大剧院,180-1100,曲苑杂坛,其他,售票中,180.0,1100.0
音乐剧夜幕下的哈尔滨,https://detail.damai.cn/item.htm?id=921050200147,2025.07.19-07.20,上海,北外滩友邦大剧院-大剧场,80-880,话剧歌剧,音乐剧,售票中,80.0,880.0
文松领衔刘老根大舞台巡演宁波站,https://detail.damai.cn/item.htm?id=934473259400,2025.06.29 周日 19:30,宁波,宁波文化广场大剧院,180-880,话剧歌剧,音乐剧,售票中,180.0,880.0
康士坦的变化球滚石撞乐队广州场75,https://detail.damai.cn/item.htm?id=930628361944,2025.07.05 周六 20:00,广州,中央车站展演中心,219-359,演唱会,livehouse,售票中,219.0,359.0
岑宁儿好久不见你了2025亚洲巡演成都站,https://detail.damai.cn/item.htm?id=934902282122,2025.07.04 周五 20:00,成都,成都CH8冇独空间·完美店,388-488,演唱会,livehouse,售票中,388.0,488.0
第二届钱塘国际戏剧节初代原卡告别之旅法语原版音乐剧罗密欧与朱丽叶,https://detail.damai.cn/item.htm?id=914692877551,2025.11.07-11.09,杭州,杭州金沙湖大剧院-歌剧厅,99-1180,话剧歌剧,音乐剧,售票中,99.0,1180.0
庞麦郎真棒2025巡演长沙站第二场,https://detail.damai.cn/item.htm?id=926742574079,2025.06.22 周日 20:30,长沙,长沙VOX LIVEHOUSE,100-120,演唱会,livehouse,售票中,100.0,120.0
法语原版音乐剧罗密欧与朱丽叶,https://detail.damai.cn/item.htm?id=917114877862,2025.11.21-11.30,深圳,深圳保利剧院,180-1080,话剧歌剧,音乐剧,售票中,180.0,1080.0
开心麻花爆笑解压即兴秀麻花喜剧Fun现场,https://detail.damai.cn/item.htm?id=924613136604,2025.06.14-06.28,西安,源点大观影城(曲江银泰店),80-98,话剧歌剧,话剧,售票中,80.0,98.0
