title,href,date,city,theatre,price,type,subclass,status
6月29日 临沂 黑屋乐队「爱围绕在你左右」巡演,https://detail.damai.cn/item.htm?id=924629380886,2025.06.29 周日 20:00,临沂,老橡树艺术空间(大学店),100-150,演唱会,livehouse,售票中
四海福临2025德云社烧饼 曹鹤阳相声专场演出-北京站,https://detail.damai.cn/item.htm?id=917155720703,2025.07.06 周日 19:30,北京,北京展览馆剧场,180-1280,曲苑杂坛,其他,售票中
【龙华站】中式美学经典古装话剧《红楼梦》,https://detail.damai.cn/item.htm?id=932100660682,2025.06.28 周六 17:00,深圳,中影嘉年华影城,19.9-200,话剧歌剧,话剧,售票中
陈柏宇「LIFE IS LIVE」巡回演唱会 2025 佛山站,https://detail.damai.cn/item.htm?id=902287033963,2025.06.28 周六 19:30,佛山,佛山市岭南明珠体育馆,380-980,演唱会,其他,售票中
黄礼格2025“安全地带”巡演 合肥站,https://detail.damai.cn/item.htm?id=926542643991,2025.08.29 周五 20:00,合肥,葫芦果CHIZHAO LIVEHOUSE,148-388,演唱会,livehouse,售票中
【衢州】音乐剧《粉丝来信》中文版,https://detail.damai.cn/item.htm?id=925405019853,2025.09.19-09.20,衢州,衢州保利大剧院大剧场,50-580,话剧歌剧,音乐剧,售票中
开心麻花爆笑奇谈大戏《开心聊斋.三生PLUS》-深圳站,https://detail.damai.cn/item.htm?id=927606147518,2025.07.02-07.19,深圳,深圳开心麻花红山剧场,80-580,话剧歌剧,话剧,售票中
赵文瑄、凯丽、邓萃雯主演 | 话剧《鳄鱼》,https://detail.damai.cn/item.htm?id=930616947021,2025.07.18-07.19,衡阳,衡阳保利大剧院,80-680,话剧歌剧,话剧,售票中
【独家双剧福利】里马斯·图米纳斯执导 俄罗斯瓦赫坦戈夫剧院 话剧《叶甫盖尼·奥涅金》,https://detail.damai.cn/item.htm?id=927469285146,2025.09.03-09.04,上海,东方艺术中心-歌剧厅,280-1080,话剧歌剧,话剧,售票中
法语原版音乐剧《罗密欧与朱丽叶》,https://detail.damai.cn/item.htm?id=919299649848,2025.11.14-11.16,成都,成都高新中演大剧院-大剧场,280-1080,话剧歌剧,音乐剧,售票中
爆款好剧沉浸式喜剧《联邦调查团》｜谋杀侦探悬疑｜金钱or诱惑的冲突｜你也参与其中？,https://detail.damai.cn/item.htm?id=914130746303,2025.06.12-06.30,北京,北京尚影爆笑沉漫式剧场(喜剧部落店),218-1008,话剧歌剧,话剧,售票中
余华原著 孟京辉导演《古典爱情》武汉站,https://detail.damai.cn/item.htm?id=926879590759,2025.09.05-09.06,武汉,武汉剧院,100-480,话剧歌剧,话剧,售票中
周蕙《约定-做快乐的自己》2025 音乐会-上海站,https://detail.damai.cn/item.htm?id=917470037947,2025.09.06 周六 19:30,上海,交通银行前滩31演艺中心 · 大剧场,299-799,音乐会,其他,售票中
四海福临2025德云社相声大会相声演出专场-武清站,https://detail.damai.cn/item.htm?id=926751245231,2025.06.29 周日 19:30,天津,武清影剧院,100-600,曲苑杂坛,其他,售票中
亚洲大型全男班现代舞秀《无名之辈》,https://detail.damai.cn/item.htm?id=927896498645,2025.07.07 周一 19:30,阜阳,阜阳大剧院-大剧场,80-680,话剧歌剧,音乐剧,售票中
2025「ECHO SANDSTORM CN TOUR」巡演【贵阳站】,https://detail.damai.cn/item.htm?id=934000886732,2025.07.12 周六 20:00,贵阳,Z纪元空间,149-299,演唱会,livehouse,售票中
《奥德赛眼睛》阿那亚戏剧节特邀剧目,https://detail.damai.cn/item.htm?id=913604748126,2025.06.20-06.22,秦皇岛,阿那亚蜂巢剧场,180-380,话剧歌剧,音乐剧,售票中
“唱支山歌给党听”长影乐团交响音乐会,https://detail.damai.cn/item.htm?id=931210969756,2025.07.01 周二 19:30,北京,国家大剧院-音乐厅,80-480,音乐会,其他,售票中
开心麻花王牌爆笑大戏《乌龙山伯爵》,https://detail.damai.cn/item.htm?id=921455766423,2025.06.13-06.14,北京,大兴剧院-大剧场,80-980,话剧歌剧,话剧,售票中
磁场喜剧x南锣鼓巷丨全国知名脱口秀大咖 | 周一至周日持续爆笑,https://detail.damai.cn/item.htm?id=912077621872,2025.06.12-06.27,北京,磁场剧场NT剧场,62-380,曲苑杂坛,其他,售票中
2025罗大佑春龙交响夜音乐会,https://detail.damai.cn/item.htm?id=915778435213,2025.08.02-08.03,青岛,青岛大剧院歌剧厅,480-1880,音乐会,其他,售票中
HIGH5 「放肆嗨」 2025巡演 -上海站,https://detail.damai.cn/item.htm?id=926748501637,2025.06.21 周六 19:00,上海,万代南梦宫上海文化中心未来剧场,220-480,演唱会,livehouse,售票中
邓寓君·等什么君“精炁神”2025巡回演唱会 西安站,https://detail.damai.cn/item.htm?id=925989527658,2025.08.09 周六 19:30,西安,星球工厂LIVEHOUSE,298-388,演唱会,livehouse,售票中
【河南首演】开心麻花综艺同款原创爆笑新喜剧 《整个喜剧》,https://detail.damai.cn/item.htm?id=911200874025,2025.06.13-06.15,郑州,河南艺术中心小剧场,80-380,曲苑杂坛,其他,售票中
[新型关系2.0]颜怡颜悦脱口秀专场 南昌站,https://detail.damai.cn/item.htm?id=930492984855,2025.07.12 周六 19:45,南昌,江西艺术中心大剧院,150-480,曲苑杂坛,其他,售票中
成都【爆款喜剧】2025年开年巨制沉浸式互动话剧《钞级骗局》｜凶手谋杀步步紧逼,https://detail.damai.cn/item.htm?id=936533936692,2025.06.12-06.30,成都,如时潮娃剧场B厅,168-988,话剧歌剧,话剧,售票中
原创音乐剧《长安十二时辰》,https://detail.damai.cn/item.htm?id=923428236989,2025.07.11-07.12,合肥,合肥大剧院歌剧厅,100-880,话剧歌剧,音乐剧,售票中
老舍经典作品《茶馆》-上海站,https://detail.damai.cn/item.htm?id=914851475729,2025.07.26-07.27,上海,美琪大戏院,180-1200,话剧歌剧,话剧,售票中
维也纳皇家交响乐团2026新年音乐会--上海站,https://detail.damai.cn/item.htm?id=923670633359,2025.12.24 周三 19:30,上海,东方艺术中心-音乐厅,180-1280,音乐会,其他,售票中
余华原著 孟京辉导演《古典爱情》,https://detail.damai.cn/item.htm?id=927831772402,2025.08.29-08.30,广州,广东省友谊剧院,100-480,话剧歌剧,话剧,售票中
成都爱乐合唱团——《花样年华》经典国语电影专场音乐会,https://detail.damai.cn/item.htm?id=923720212171,2025.08.21 周四 19:30,上海,东方艺术中心-音乐厅,90-2244,音乐会,其他,售票中
新型关系2.0·颜怡颜悦脱口秀专场,https://detail.damai.cn/item.htm?id=926812254593,2025.07.05 周六 19:30,佛山,佛山大剧院-大剧场,150-480,曲苑杂坛,其他,售票中
「海宇山·风和月」刘兆宇&阿YueYue2025巡演--南京站,https://detail.damai.cn/item.htm?id=924088322435,2025.07.05 周六 19:30,南京,南京八度空间,128-288,演唱会,livehouse,售票中
鄱湖之声文旅共生中国鄱阳湖（都昌）音乐嘉年华,https://detail.damai.cn/item.htm?id=917492554048,2025.06.21 周六 19:30,九江,都昌县第一中学,180-1280,演唱会,其他,售票中
乌兰图雅“花开四季”演唱会,https://detail.damai.cn/item.htm?id=920575225567,2025.08.15 周五 20:00,南宁,广西文化艺术中心(保利)大剧院,180-980,音乐会,其他,售票中
【三展通票】X美术馆2025夏季“抽象”主题双展&2025抖音青年艺术家年度展,https://detail.damai.cn/item.htm?id=928564261778,2025.05.25-10.12,北京,X美术馆,10-80,展览休闲,展会,售票中
黄礼格2025“安全地带”巡演 珠海站,https://detail.damai.cn/item.htm?id=927922192975,2025.07.27 周日 19:30,珠海,MAO Livehouse珠海,148-388,演唱会,livehouse,售票中
【贵阳】舞剧《杜甫》,https://detail.damai.cn/item.htm?id=926893594829,2025.07.06 周日 19:30,贵阳,贵州省国际会议中心,80-680,话剧歌剧,音乐剧,售票中
MISTER「轻狂岁月」音乐会-珠海站,https://detail.damai.cn/item.htm?id=925736785658,2025.06.14 周六 20:00,珠海,MAO Livehouse珠海,380-530,演唱会,livehouse,售票中
